"Source","Target","Type","Weight"
"Gutzmer R","Hassel JC","Undirected",10
"Caydasi AK","Pereira G","Undirected",8
"Schadendorf D","Schilling B","Undirected",7
"Schirmacher P","Stenzinger A","Undirected",6
"Behren A","Cebon J","Undirected",6
"Livingstone E","Schadendorf D","Undirected",6
"Gutzmer R","Loquai C","Undirected",6
"Hassel JC","Zimmer L","Undirected",6
"Budczies J","Schirmacher P","Undirected",5
"Budczies J","Stenzinger A","Undirected",5
"Berking C","Gutzmer R","Undirected",5
"Hauschild A","Schadendorf D","Undirected",5
"Roesch A","Schadendorf D","Undirected",5
"Lee FT","Scott AM","Undirected",5
"Cebon J","Woods K","Undirected",5
"Fokas E","Martin D","Undirected",5
"Fokas E","Rödel C","Undirected",5
"Martin D","Rödel C","Undirected",5
"Bender C","Hassel JC","Undirected",5
"Gogolin S","Westermann F","Undirected",5
"Göppner D","Loquai C","Undirected",5
"Kähler KC","Loquai C","Undirected",5
"Gutzmer R","Zimmer L","Undirected",5
"Hassel JC","Loquai C","Undirected",5
"Loquai C","Zimmer L","Undirected",5
"Kreis NN","Yuan J","Undirected",5
"Endris V","Schirmacher P","Undirected",4
"Endris V","Stenzinger A","Undirected",4
"Fröhling S","Schirmacher P","Undirected",4
"Fröhling S","Stenzinger A","Undirected",4
"Gutzmer R","Schadendorf D","Undirected",4
"Lee FT","O'Keefe GJ","Undirected",4
"Lee FT","Rigopoulos A","Undirected",4
"O'Keefe GJ","Rigopoulos A","Undirected",4
"O'Keefe GJ","Scott AM","Undirected",4
"Rigopoulos A","Scott AM","Undirected",4
"John T","Thapa B","Undirected",4
"Livingstone E","Schilling B","Undirected",4
"Schadendorf D","Zimmer L","Undirected",4
"Halama N","Jaeger D","Undirected",4
"Behren A","Woods K","Undirected",4
"Balermpas P","Fokas E","Undirected",4
"Balermpas P","Martin D","Undirected",4
"Balermpas P","Rödel C","Undirected",4
"Balermpas P","Rödel F","Undirected",4
"Enk A","Hassel JC","Undirected",4
"Dummer R","Grob JJ","Undirected",4
"Dummer R","Schadendorf D","Undirected",4
"Grob JJ","Schadendorf D","Undirected",4
"Budczies J","Denkert C","Undirected",4
"Karn T","Pusztai L","Undirected",4
"Ugurel S","Zimmer L","Undirected",4
"Forschner A","Loquai C","Undirected",4
"Göppner D","Meier F","Undirected",4
"Heinzerling L","Loquai C","Undirected",4
