label,count,ID,Name,Affiliation,Location,Focus,Website
Hassel JC,23,Hassel JC,Jessica C. Hassel (MD),NCT; UniversitätsKlinikum Heidelberg,Heidelberg,"Dermatology, checkpoints, biomarkers, clinical trials",https://www.klinikum.uni-heidelberg.de/Labor-Dr-Hassel.139935.0.html
Schadendorf D,18,Schadendorf D,Dirk Schadendorf (MD),"DKTK; University Duisburg-Essen, dept. of Dermatology (director)",Essen,"Skin tumor, immunotherapy, HIV",https://www.uk-essen.de/en/kliniken0/dermatologie0/
Gutzmer R,15,Gutzmer R,Ralf Gutzmer (MD),HTZH (head); MH-Hannover,Hannover,"Dermatology, immunotherapy",https://www.mh-hannover.de/17559.html
Jaeger D,13,Jaeger D,,,,,
Pereira G,11,Pereira G,,,,,
Schilling B,10,Schilling B,,,,,
Krämer A,9,Krämer A,,,,,
Loquai C,9,Loquai C,,,,,
Schirmacher P,9,Schirmacher P,,,,,
Stenzinger A,9,Stenzinger A,,,,,
Zimmer L,9,Zimmer L,,,,,
Berking C,8,Berking C,,,,,
Caydasi AK,8,Caydasi AK,,,,,
Cebon J,8,Cebon J,,,,,
Ehemann V,8,Ehemann V,,,,,
Weichert W,8,Weichert W,,,,,
Yuan J,8,Yuan J,,,,,
Meier F,7,Meier F,,,,,
Strebhardt K,7,Strebhardt K,,,,,
Wick W,7,Wick W,,,,,
Behren A,6,Behren A,,,,,
Budczies J,6,Budczies J,,,,,
Enk A,6,Enk A,,,,,
Fokas E,6,Fokas E,,,,,
Fröhling S,6,Fröhling S,,,,,
Hauschild A,6,Hauschild A,,,,,
Heinzerling L,6,Heinzerling L,,,,,
Livingstone E,6,Livingstone E,,,,,
Platten M,6,Platten M,,,,,
Preusser M,6,Preusser M,,,,,
Roesch A,6,Roesch A,,,,,
Scott AM,6,Scott AM,,,,,
Ugurel S,6,Ugurel S,,,,,
Utikal J,6,Utikal J,,,,,
Westermann F,6,Westermann F,,,,,
Balermpas P,5,Balermpas P,,,,,
Beckhove P,5,Beckhove P,,,,,
Bender C,5,Bender C,,,,,
Benner A,5,Benner A,,,,,
Berghoff AS,5,Berghoff AS,,,,,
Dummer R,5,Dummer R,,,,,
Efferth T,5,Efferth T,,,,,
Garbe C,5,Garbe C,,,,,
Gogolin S,5,Gogolin S,,,,,
Göppner D,5,Göppner D,,,,,
Grob JJ,5,Grob JJ,,,,,
Halama N,5,Halama N,,,,,
Heppt MV,5,Heppt MV,,,,,
Hodi FS,5,Hodi FS,,,,,
Hofmann TG,5,Hofmann TG,,,,,
John T,5,John T,,,,,
Kähler KC,5,Kähler KC,,,,,
Kreis NN,5,Kreis NN,,,,,
Lee FT,5,Lee FT,,,,,
Maio M,5,Maio M,,,,,
Martin D,5,Martin D,,,,,
Rödel C,5,Rödel C,,,,,
Umansky V,5,Umansky V,,,,,
Weide B,5,Weide B,,,,,
Woods K,5,Woods K,,,,,
Abdel-Rahman O,4,Abdel-Rahman O,,,,,
Ascierto PA,4,Ascierto PA,,,,,
Becker S,4,Becker S,,,,,
Buder-Bakhaya K,4,Buder-Bakhaya K,,,,,
Cheng X,4,Cheng X,,,,,
Debus J,4,Debus J,,,,,
Denkert C,4,Denkert C,,,,,
Dimitrakopoulou-Strauss A,4,Dimitrakopoulou-Strauss A,,,,,
Eigentler TK,4,Eigentler TK,,,,,
Endris V,4,Endris V,,,,,
Falk S,4,Falk S,,,,,
Forschner A,4,Forschner A,,,,,
Fulda S,4,Fulda S,,,,,
Gebhardt C,4,Gebhardt C,,,,,
Giryes A,4,Giryes A,,,,,
Glimm H,4,Glimm H,,,,,
Grüllich C,4,Grüllich C,,,,,
Helbling D,4,Helbling D,,,,,
Ho AD,4,Ho AD,,,,,
Karn T,4,Karn T,,,,,
Kayser K,4,Kayser K,,,,,
Keller U,4,Keller U,,,,,
Kirchner T,4,Kirchner T,,,,,
Kloor M,4,Kloor M,,,,,
Kurtulmus B,4,Kurtulmus B,,,,,
Lasitschka F,4,Lasitschka F,,,,,
Lebbé C,4,Lebbé C,,,,,
Leverkus M,4,Leverkus M,,,,,
Löffler H,4,Löffler H,,,,,
Louwen F,4,Louwen F,,,,,
Marx A,4,Marx A,,,,,
Mehrabi A,4,Mehrabi A,,,,,
Meissner M,4,Meissner M,,,,,
O'Keefe GJ,4,O'Keefe GJ,,,,,
Offringa R,4,Offringa R,,,,,
Oweira H,4,Oweira H,,,,,
Paz-Ares L,4,Paz-Ares L,,,,,
Penzel R,4,Penzel R,,,,,
Petrausch U,4,Petrausch U,,,,,
Pusztai L,4,Pusztai L,,,,,
Reck M,4,Reck M,,,,,
Rigopoulos A,4,Rigopoulos A,,,,,
Rödel F,4,Rödel F,,,,,
Sanhaji M,4,Sanhaji M,,,,,
Schirrmacher V,4,Schirrmacher V,,,,,
Schmidt J,4,Schmidt J,,,,,
Schmitt A,4,Schmitt A,,,,,
Schneeweiss A,4,Schneeweiss A,,,,,
Schneider G,4,Schneider G,,,,,
Schöb O,4,Schöb O,,,,,
Steins M,4,Steins M,,,,,
Subklewe M,4,Subklewe M,,,,,
Thapa B,4,Thapa B,,,,,
Tietze JK,4,Tietze JK,,,,,
Trojan J,4,Trojan J,,,,,
Trumpp A,4,Trumpp A,,,,,
Wolchok JD,4,Wolchok JD,,,,,
Altevogt P,3,Altevogt P,,,,,
Andrews MC,3,Andrews MC,,,,,
Bartek J,3,Bartek J,,,,,
